p_date,new,old
20250501,563233,652079
20250502,551023,652796
20250503,549613,672625
20250504,542378,683118
20250505,535207,697586
20250506,463824,719160
20250507,1147482,1296330
20250508,1152124,1230095
20250509,1157452,1221492
20250510,1156457,1159590
20250511,1160934,1150727
20250512,1153970,1176735
20250513,1186658,1177006
20250514,664114,760250
20250515,655493,724471
20250516,668669,748557
20250517,656479,698889
20250518,640210,686121
20250519,705318,647038
20250520,717283,676818
20250521,687061,641917
20250522,722226,664072
20250523,729727,657149
20250524,706534,609279
20250525,699265,595550
20250526,704347,606733
20250527,715875,608058
